id;scenario_id;region;year;input_energy_vector;output_energy_vector;technology;technology_type;parameter_name;value;unit;tags;method;source;comment
76;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;lignite;electricity;chp;steam;fixed costs;31400;€/MW/a;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p36, Supercritical Pulverized Fuel Power Plant
77;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;lignite;electricity;chp;steam;capital costs;1924000;€/MW;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p36, Supercritical Pulverized Fuel Power Plant
78;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;lignite;electricity;chp;steam;lifetime;25;years;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p36, Supercritical Pulverized Fuel Power Plant
79;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;lignite;electricity;chp;steam;input ratio;1;;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p36, Supercritical Pulverized Fuel Power Plant
80;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;lignite;electricity;chp;steam;output ratio;0.47;;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p36, Supercritical Pulverized Fuel Power Plant
81;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;water;electricity;hydro turbine;run-of-river;variable costs;5;€/MWh;;"{""value"": ""Interpolation 2013-2020""}";ETRI2014;p26
82;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;water;electricity;hydro turbine;run-of-river;fixed costs;83142.86;€/MW/a;;"{""value"": ""Interpolation 2013-2020""}";ETRI2014;p26
83;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;water;electricity;hydro turbine;run-of-river;capital costs;5542857.14;€/MW;;"{""value"": ""Interpolation 2013-2020""}";ETRI2014;p26
84;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;water;electricity;hydro turbine;run-of-river;lifetime;60;years;;"{""value"": ""Interpolation 2013-2020""}";ETRI2014;p26
85;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;heat;electricity;geothermal;unknown;variable costs;0;€/MWh;;"{""value"": ""Interpolation 2013-2020""}";ETRI2014;p29
86;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;heat;electricity;geothermal;unknown;fixed costs;78320;€/MW/a;;"{""value"": ""Interpolation 2013-2020""}";ETRI2014;p29
87;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;heat;electricity;geothermal;unknown;capital costs;5290000;€/MW;;"{""value"": ""Interpolation 2013-2020""}";ETRI2014;p29
